SG_UF,Município,SG_PARTIDO,NM_CANDIDATO,porte_municipio,votos_nominais,NR_IDADE_DATA_POSSE,DS_GENERO,DS_COR_RACA,eleito,percentual,ano
SP,São Paulo,PT,EDUARDO MATARAZZO SUPLICY,Grande,167552,79,Masculino,Branca,Sim,0.2980975713032695,2020
SP,São Paulo,PT,ANTONIO DONATO MADORMO,Grande,31920,60,Masculino,Branca,Sim,0.056789978490261905,2020
SP,São Paulo,PT,ALESSANDRO GUEDES DOS SANTOS,Grande,31124,40,Masculino,Negra,Sim,0.055373787297334325,2020
SP,São Paulo,PT,JAIR JOSÉ TATTO,Grande,29918,52,Masculino,Branca,Sim,0.05322815089196917,2020
SP,São Paulo,PT,JULIANA CARDOSO,Grande,28402,41,Feminino,Indígena,Sim,0.05053098274061462,2020
SP,São Paulo,PT,SENIVAL PEREIRA DE MOURA,Grande,25311,55,Masculino,Negra,Sim,0.0450316774927011,2020
SP,São Paulo,PT,ALFREDO ALVES CAVALCANTE,Grande,25159,61,Masculino,Negra,Sim,0.04476124902369985,2020
SP,São Paulo,PT,ARSELINO ROQUE TATTO,Grande,25021,64,Masculino,Branca,Sim,0.04451572844000135,2020
RJ,Rio de Janeiro,PT,LUIZ LINDBERGH FARIAS FILHO,Grande,24912,51,Masculino,Branca,Sim,0.20692232937130897,2020
RJ,Rio de Janeiro,PT,TAINÁ REIS DE PAULA KAPAZ,Grande,24881,37,Feminino,Negra,Sim,0.20666483931790056,2020
SP,São Paulo,PT,PAULO BATISTA DOS REIS,Grande,23300,59,Masculino,Negra,Não,0.04145383768242802,2020
SP,São Paulo,PT,MANOEL DEL RIO BLAS FILHO,Grande,23075,73,Masculino,Branca,Não,0.041053532382919596,2020
SP,São Paulo,PT,HÉLIO RODRIGUES DE ANDRADE,Grande,20576,51,Masculino,Branca,Não,0.03660747485637936,2020
SP,São Paulo,PT,LUNA ZARATTINI BRANDÃO,Grande,17296,27,Feminino,Branca,Não,0.030771913156878758,2020
SP,São Paulo,PT,JOÃO ANANIAS MOREIRA SILVA,Grande,16821,46,Masculino,Branca,Não,0.02992682419124986,2020
SP,São Paulo,PT,NABIL GEORGES BONDUKI,Grande,16379,65,Masculino,Branca,Não,0.029140446669548865,2020
RJ,Rio de Janeiro,PT,REIMONT LUIZ OTONI SANTA BARBARA,Grande,16082,59,Masculino,Branca,Sim,0.1335791948036846,2020
RJ,Rio de Janeiro,PT,LUCIANA GONÇALVES DE NOVAES,Grande,15311,37,Feminino,Branca,Não,0.12717516799149453,2020
SP,São Paulo,PT,CARMEN DA SILVA FERREIRA,Grande,12427,60,Feminino,Negra,Não,0.022109306475516437,2020
RJ,Rio de Janeiro,PT,ELIKA TAKIMOTO,Grande,11857,47,Feminino,Branca,Não,0.09848579236334339,2020
SP,São Paulo,PT,TAMIRES GOMES SAMPAIO,Grande,11451,27,Feminino,Negra,Não,0.020372871042982115,2020
PR,Curitiba,PT,ANA CAROLINA MOURA MELO DARTORA,Grande,8874,37,Feminino,Negra,Sim,0.20238095238095238,2020
CE,Fortaleza,PT,LARISSA MARIA FERNANDES GASPAR DA COSTA,Grande,8555,37,Feminino,Branca,Sim,0.15221065741482073,2020
SP,Santos,PT,TELMA SANDRA AUGUSTO DE SOUZA,Grande,8381,76,Feminino,Branca,Sim,0.6697299025091897,2020
BA,Salvador,PT,MARTA RODRIGUES SOUSA DE BRITO COSTA,Grande,7271,61,Feminino,Negra,Sim,0.09607431191448317,2020
PE,Recife,PT,LIANA CRISTINA DA COSTA CIRNE LINS,Grande,6819,49,Feminino,Branca,Sim,0.1434823776959495,2020
PE,Recife,PT,JAIRO XAVIER DE BRITTO,Grande,6635,59,Masculino,Branca,Sim,0.13961073119410836,2020
SP,São Paulo,PT,VIVIAN OLIVEIRA MENDES,Grande,6623,31,Feminino,Branca,Não,0.011783208882863553,2020
SP,Guarulhos,PT,JANETE ROCHA PIETÁ,Grande,6461,74,Feminino,Negra,Sim,0.14162958416449287,2020
SP,São Paulo,PT,WILLIAM DE LUCCA MARTINEZ,Grande,6319,35,Masculino,Branca,Não,0.011242351944861059,2020
MG,Juiz de Fora,PT,APARECIDA DE OLIVEIRA PINTO,Grande,6045,62,Feminino,Branca,Sim,0.27538608719420526,2020
MG,Belo Horizonte,PT,MACAÉ MARIA EVARISTO DOS SANTOS,Grande,5985,55,Feminino,Negra,Sim,0.14942700921279306,2020
RN,Natal,PT,MARIA DIVANEIDE BASILIO,Grande,5966,42,Feminino,Negra,Sim,0.2455649310557728,2020
PR,Curitiba,PT,JOSETE DUBIASKI DA SILVA,Grande,5856,56,Feminino,Branca,Sim,0.13355227148330598,2020
PE,Recife,PT,OSMAR RICARDO CABRAL BARRETO,Grande,5838,54,Masculino,Negra,Sim,0.12284061020515519,2020
CE,Fortaleza,PT,GUILHERME DE FIGUEIREDO SAMPAIO,Grande,5816,50,Masculino,Branca,Sim,0.10347833822613646,2020
PE,Recife,PT,JOÃO DA COSTA BEZERRA FILHO,Grande,5802,60,Masculino,Branca,Não,0.12208311415044713,2020
SP,Guarulhos,PT,RÔMULO ORNELAS DE OLIVEIRA,Grande,5794,60,Masculino,Indígena,Sim,0.12700848330739384,2020
RS,Porto Alegre,PT,LEONEL GUTERRES RADDE,Grande,5611,39,Masculino,Branca,Sim,0.10455604211310911,2020
SP,Sorocaba,PT,IARA BERNARDI,Grande,5525,68,Feminino,Branca,Sim,0.30486122606632454,2020
BA,Salvador,PT,LUIZ CARLOS SANTOS LIMA,Grande,5521,54,Masculino,Negra,Sim,0.07295093880894808,2020
SP,Guarulhos,PT,MARCELO NUNES SEMINALDO,Grande,5430,42,Masculino,Branca,Sim,0.1190293518051689,2020
RS,Porto Alegre,PT,LAURA SOARES SITO SILVEIRA,Grande,5390,29,Feminino,Negra,Sim,0.1004379017981925,2020
RJ,Duque de Caxias,PT,EDUARDO MOREIRA,Grande,5339,38,Masculino,Branca,Sim,0.3114754098360656,2020
SP,Guarulhos,PT,ORLANDO MAURICIO JUNIOR,Grande,5249,45,Masculino,Branca,Sim,0.1150617067449966,2020
SP,São José dos Campos,PT,AMÉLIA NAOMI OMURA,Grande,5240,60,Feminino,Branca,Sim,0.24836477391221917,2020
MG,Uberlândia,PT,DANDARA TONANTZIN SILVA CASTRO,Grande,5237,26,Feminino,Negra,Sim,0.3850735294117647,2020
SP,Diadema,PT,ORLANDO VITORIANO DE OLIVEIRA,Grande,5140,48,Masculino,Branca,Sim,0.1924084749569514,2020
RS,Porto Alegre,PT,JONAS TARCISIO REIS,Grande,5133,33,Masculino,Branca,Sim,0.09564893319668313,2020
RS,Caxias do Sul,PT,DENISE DA SILVA PESSÔA,Grande,5117,37,Feminino,Negra,Sim,0.2694717994628469,2020
PR,Curitiba,PT,RENATO DE ALMEIDA FREITAS JUNIOR,Grande,5097,37,Masculino,Negra,Sim,0.11624247400109469,2020
CE,Fortaleza,PT,ANTONIO RONIVALDO DA SILVA MAIA,Grande,4981,50,Masculino,Negra,Sim,0.08862200871808558,2020
PA,Belém,PT,BEATRIZ CAMINHA DOS SANTOS,Grande,4874,21,Feminino,Negra,Sim,0.15469087215945157,2020
BA,Salvador,PT,MARIA FERNANDES MARIGHELLA,Grande,4837,44,Feminino,Negra,Sim,0.06391300326369895,2020
MG,Belo Horizonte,PT,SÔNIA LANSKY,Grande,4793,58,Feminino,Branca,Sim,0.11966644196439717,2020
SP,São Bernardo do Campo,PT,ANA NICE MARTINS DE CARVALHO,Grande,4728,46,Feminino,Negra,Sim,0.1252616240561664,2020
RS,Porto Alegre,PT,ALDACIR JOSE OLIBONI,Grande,4612,64,Masculino,Branca,Sim,0.08594055716016025,2020
BA,Salvador,PT,JOSÉ TIAGO PASSOS FERREIRA,Grande,4610,40,Masculino,Negra,Sim,0.06091357143800954,2020
PR,Curitiba,PT,ANA JULIA PIRES RIBEIRO,Grande,4538,20,Feminino,Branca,Não,0.1034938879766466,2020
SP,Sumaré,PT,WILLIAM DE SOUZA ROSA,Médio,4477,33,Masculino,Negra,Sim,0.4487320837927233,2020
RJ,Maricá,PT,ALDAIR NUNES ELIAS,Médio,4469,49,Masculino,Negra,Sim,0.25284299858557285,2020
RJ,Rio de Janeiro,PT,EDSON SANTOS DE SOUZA,Grande,4468,66,Masculino,Negra,Não,0.03711179221383303,2020
SP,Guarulhos,PT,FERNANDA STEFANI CURTI,Grande,4405,26,Feminino,Negra,Não,0.096560643591486,2020
MG,Belo Horizonte,PT,PEDRO LUIZ NEVES VICTER ANANIAS,Grande,4268,43,Masculino,Branca,Não,0.10655880957731007,2020
BA,Salvador,PT,ARNANDO LESSA SILVEIRA,Grande,4231,68,Masculino,Negra,Não,0.05590570949115366,2020
PE,Recife,PT,FERNANDO DANTAS FERRO,Grande,4226,69,Masculino,Branca,Não,0.08892162019989479,2020
RJ,Niterói,PT,VERONICA DOS SANTOS LIMA,Grande,4220,47,Feminino,Negra,Sim,0.34991708126036486,2020
CE,Fortaleza,PT,VICENTE DE PAULO PINTO DA COSTA,Grande,4116,61,Masculino,Branca,Não,0.07323191886842807,2020
PE,Recife,PT,SUZINEIDE RODRIGUES DE MEDEIROS,Grande,4084,56,Feminino,Negra,Não,0.08593371909521305,2020
SP,São Bernardo do Campo,PT,ANA MARIA DO CARMO ROSSETO,Grande,4049,65,Feminino,Negra,Sim,0.10727248642204265,2020
PR,Curitiba,PT,ANGELO CARLOS VANHONI,Grande,4034,65,Masculino,Branca,Não,0.09199963510308339,2020
SP,Diadema,PT,JOSEMUNDO DARIO QUEIROZ,Grande,4024,54,Masculino,Branca,Sim,0.1506326270869207,2020
RS,Porto Alegre,PT,REGINETE SOUZA BISPO,Grande,4008,57,Feminino,Negra,Não,0.07468554924065965,2020
PI,Teresina,PT,DEOLINDO MOURA NETO,Grande,3995,36,Masculino,Branca,Sim,0.12145072049613911,2020
BA,Salvador,PT,ANA RITA TAVARES TEIXEIRA,Grande,3983,58,Feminino,Branca,Não,0.05262879718819783,2020
BA,Feira de Santana,PT,SILVIO DE OLIVEIRA DIAS,Grande,3952,49,Masculino,Negra,Sim,0.20586549981767985,2020
PB,João Pessoa,PT,MARCOS HENRIQUES E SILVA,Grande,3927,53,Masculino,Branca,Sim,0.266273393002441,2020
BA,Salvador,PT,GILMAR CARVALHO SANTIAGO,Grande,3878,60,Masculino,Negra,Não,0.05124139480186573,2020
PI,Teresina,PT,EDILBERTO BORGES DE OLIVEIRA,Grande,3860,51,Masculino,Negra,Sim,0.11734662856447985,2020
