SG_UF,Município,SG_PARTIDO,NM_CANDIDATO,porte_municipio,votos_nominais,NR_IDADE_DATA_POSSE,DS_GENERO,DS_COR_RACA,eleito,percentual,ano
CE,Fortaleza,PT,ADRIANA DE SOUSA ALMEIDA,Grande,3815,48,Feminino,Negra,Não,0.067876523440975,2020
RS,Porto Alegre,PT,MARCELO SGARBOSSA,Grande,3770,45,Masculino,Branca,Não,0.07025062890151867,2020
SP,Sorocaba,PT,FRANCISCO FRANÇA DA SILVA,Grande,3749,56,Masculino,Branca,Sim,0.20686420570545716,2020
MG,Belo Horizonte,PT,BRUNO ABREU GOMES,Grande,3649,36,Masculino,Branca,Não,0.09110428681996355,2020
SP,Campinas,PT,MARGARIDA DA SILVA CALIXTO,Grande,3645,50,Feminino,Negra,Sim,0.144671561817821,2020
BA,Salvador,PT,MARCOS FABIO REZENDE CORREIA,Grande,3631,46,Masculino,Negra,Não,0.047977695854970207,2020
GO,Goiânia,PT,MAURO RUBEM DE MENEZES JONAS,Grande,3608,60,Masculino,Branca,Sim,0.23702535803442387,2020
PR,Curitiba,PT,GIORGIA TAIS XAVIER PRATES,Grande,3582,42,Feminino,Negra,Não,0.08169129720853859,2020
SP,São Paulo,PT,PATRICIA RODRIGUES DA SILVA,Grande,3560,35,Feminino,Indígena,Não,0.006333719405555526,2020
PI,Teresina,PT,ELZUILA ALVES CALISTO,Grande,3530,37,Feminino,Branca,Sim,0.10731440384264608,2020
SP,Diadema,PT,JOSE ANTONIO DA SILVA,Grande,3497,52,Masculino,Negra,Sim,0.13090514337051734,2020
PB,João Pessoa,PT,MARIA SANDRA PEREIRA DE MARROCOS,Grande,3481,49,Feminino,Negra,Não,0.23603200433957147,2020
SP,Ribeirão Preto,PT,MARIA EDUARDA ALENCAR HIDALGO,Grande,3481,21,Feminino,Negra,Sim,0.23584010840108402,2020
MS,Campo Grande,PT,CAMILA BAZACHI JARA,Grande,3470,25,Feminino,Branca,Sim,0.16735796276647052,2020
BA,Feira de Santana,PT,IVAMBERG DOS SANTOS LIMA,Grande,3420,50,Masculino,Negra,Sim,0.1781528363806845,2020
RS,Porto Alegre,PT,CARLOS ROBERTO COMASSETTO,Grande,3419,62,Masculino,Branca,Não,0.06371005310723936,2020
PI,Teresina,PT,DÉCIO SOLANO NOGUEIRA,Grande,3390,60,Masculino,Negra,Não,0.10305830850611054,2020
SP,Santo André,PT,EDUARDO MARCHIORI LEITE DA SILVA,Grande,3369,43,Masculino,Branca,Sim,0.18815973191845853,2020
SP,Guarujá,PT,EDILSON DIAS DE ANDRADE,Grande,3241,52,Masculino,Branca,Sim,0.2973940172508717,2020
RS,São Leopoldo,PT,NESTOR PEDRO SCHWERTNER,Médio,3227,62,Masculino,Branca,Sim,0.24648640391078522,2020
PA,Belém,PT,AMAURY DE SOUSA FILHO,Grande,3177,64,Masculino,Branca,Sim,0.10083153484829249,2020
CE,Fortaleza,PT,ROGERIO CHAVES DOS SANTOS,Grande,3152,42,Masculino,Negra,Não,0.05608041989146873,2020
SC,Joinville,PT,ANA LUCIA MARTINS ROSSKAMP,Grande,3126,54,Feminino,Negra,Sim,0.3322350940588798,2020
RJ,Niterói,PT,ANDERSON JOSE RODRIGUES,Grande,3066,49,Masculino,Negra,Não,0.25422885572139303,2020
MG,Belo Horizonte,PT,ARNALDO AUGUSTO GODOY,Grande,3061,69,Masculino,Branca,Não,0.07642373854642598,2020
MG,Juiz de Fora,PT,JURACI SCHEFFER,Grande,3055,55,Masculino,Branca,Sim,0.1391736139583618,2020
RJ,Rio de Janeiro,PT,FLAVIO DAS GRAÇAS MIRANDA,Grande,3006,46,Masculino,Branca,Não,0.024968229049861703,2020
MG,Juiz de Fora,PT,LAIZ PERRUT MARENDINO,Grande,2997,29,Feminino,Branca,Sim,0.13653136531365315,2020
RJ,Campos dos Goytacazes,PT,JOSÉ MARIA FERREIRA RANGEL,Grande,2934,58,Masculino,Branca,Não,0.6805845511482255,2020
SP,São Bernardo do Campo,PT,GETULIO BATISTA CANGUSSÚ,Grande,2933,53,Masculino,Branca,Sim,0.07770565637832826,2020
BA,Vitória da Conquista,PT,ALEXANDRE GARCIA ARAÚJO,Grande,2932,31,Masculino,Branca,Sim,0.1472257092643736,2020
MG,Belo Horizonte,PT,NEILA MARIA BATISTA AFONSO,Grande,2922,59,Feminino,Negra,Não,0.07295333682870198,2020
SP,Jundiaí,PT,MARIANA CERGOLI JANEIRO,Grande,2918,29,Feminino,Negra,Não,0.5668220668220668,2020
PI,Teresina,PT,JOÃO DE DEUS PEREIRA,Grande,2908,43,Masculino,Negra,Não,0.08840518027603818,2020
RS,São Leopoldo,PT,ANA INÉS AFFONSO,Médio,2906,47,Feminino,Branca,Sim,0.22196761380996027,2020
SP,Sorocaba,PT,IZIDIO DE BRITO CORREIA,Grande,2904,59,Masculino,Branca,Não,0.16023837113060752,2020
MT,Cuiabá,PT,EDNA LUZIA ALMEIDA SAMPAIO,Grande,2902,53,Feminino,Negra,Sim,0.3654911838790932,2020
RN,Natal,PT,BRISA SILVA BRACCHI,Grande,2901,23,Feminino,Negra,Sim,0.119407285449681,2020
PR,Maringá,PT,MARIO SÉRGIO VERRI,Grande,2857,54,Masculino,Branca,Sim,0.2778101905873201,2020
PR,Cascavel,PT,LILIAM FARIA PORTO BORGES,Grande,2855,54,Feminino,Negra,Sim,0.3690537745604964,2020
MG,Uberlândia,PT,IGINO MARCOS DA MATA DE OLIVEIRA,Grande,2853,48,Masculino,Negra,Não,0.20977941176470588,2020
PE,Recife,PT,CARMEM DOLORES ALVES,Grande,2811,60,Feminino,Negra,Não,0.059147816938453446,2020
BA,Feira de Santana,PT,ALBERTO MATOS NERY,Grande,2809,66,Masculino,Negra,Não,0.14632494660624057,2020
SP,Carapicuíba,PT,EDNALDO SOUZA SILVA,Grande,2771,39,Masculino,Branca,Sim,0.25266709218564787,2020
RJ,Maricá,PT,HELTER VIANA FERREIRA DE ALMEIDA,Médio,2753,54,Masculino,Branca,Sim,0.15575671852899575,2020
CE,Fortaleza,PT,ANTONIO EUDES XAVIER,Grande,2746,56,Masculino,Negra,Não,0.04885686326839249,2020
SP,Campinas,PT,PAOLLA CATHERINE DOS SANTOS MIGUEL AGARD,Grande,2728,29,Feminino,Negra,Sim,0.10827545147846795,2020
SP,São Paulo,PT,SONIA MARIA COELHO GOMES ORELLANA,Grande,2717,61,Feminino,Branca,Não,0.004833908883397293,2020
PI,Piripiri,PT,ALAN TEIXEIRA OSÓRIO,Médio,2715,33,Masculino,Negra,Sim,0.32107379375591294,2020
PR,Curitiba,PT,ANTONIA VANDECIA DE ASSIS,Grande,2705,45,Feminino,Negra,Não,0.061690384966247035,2020
SP,São Bernardo do Campo,PT,JOILSON SANTOS CARVALHO,Grande,2699,45,Masculino,Negra,Sim,0.07150615975625911,2020
SP,São José dos Campos,PT,JULIANA FRAGA E SILVA DE SOUZA,Grande,2689,43,Feminino,Branca,Sim,0.12745283913167124,2020
RJ,São Gonçalo,PT,PRISCILLA CANEDO LOUREIRO,Grande,2644,40,Feminino,Branca,Sim,0.13571501899188995,2020
BA,Feira de Santana,PT,TARCISIO BRANCO AMORIM DE ALMEIDA,Grande,2635,31,Masculino,Negra,Não,0.13726103036932855,2020
RS,Bagé,PT,RUBEN DARIO SALAZAR ARIAS,Médio,2635,67,Masculino,Branca,Sim,0.24183186490455214,2020
SP,Santo André,PT,WAGNER LIMA,Grande,2631,50,Masculino,Negra,Sim,0.14694219491762078,2020
BA,Salvador,PT,NELSON COSTA DA SILVA,Grande,2623,59,Masculino,Negra,Não,0.034658632946182,2020
SP,Campinas,PT,CECÍLIO SERAFIM DOS SANTOS,Grande,2592,49,Masculino,Negra,Sim,0.10287755507045049,2020
SP,São Paulo,PT,ALESSANDRO DE OLIVEIRA SOARES,Grande,2587,43,Masculino,Negra,Não,0.004602621377014647,2020
PB,João Pessoa,PT,MARCOS ANTONIO FREITAS DE ARAUJO,Grande,2583,36,Masculino,Negra,Não,0.17514239218877137,2020
PR,Londrina,PT,LENIR CÂNDIDA DE ASSIS,Grande,2546,51,Feminino,Branca,Sim,0.3219117461120243,2020
PE,Recife,PT,JURANDIR PEREIRA LIBERAL,Grande,2517,71,Masculino,Branca,Não,0.052961599158337716,2020
RJ,Rio de Janeiro,PT,INDIANARAE SIQUEIRA,Grande,2504,49,Feminino,Negra,Não,0.02079855141079631,2020
BA,Salvador,PT,RAFAEL DE LUCENA PEDRAL,Grande,2500,33,Masculino,Negra,Não,0.03303339015076439,2020
MG,Betim,PT,DANIEL ALESSANDRO COSTA,Grande,2490,46,Masculino,Negra,Sim,0.26711006221840805,2020
BA,Lauro de Freitas,PT,WELLINGTON DE JESUS BISPO,Médio,2453,24,Masculino,Negra,Sim,0.23377489755074812,2020
SP,Guarulhos,PT,GENILDA SUELI BERNARDES,Grande,2430,58,Feminino,Branca,Não,0.0532672789846336,2020
BA,Vitória da Conquista,PT,FERNANDO VASCONCELOS SILVA,Grande,2421,41,Masculino,Negra,Sim,0.1215666582977655,2020
PA,Belém,PT,MILENE RISUENHO LAUANDE,Grande,2416,48,Feminino,Branca,Não,0.07667893868223943,2020
SC,Blumenau,PT,ADRIANO PEREIRA,Grande,2410,42,Masculino,Branca,Sim,0.3949524745984923,2020
RS,Caxias do Sul,PT,ESTELA BALARDIN DA SILVA,Grande,2391,21,Feminino,Negra,Sim,0.12591500342303438,2020
RJ,Rio de Janeiro,PT,ROBSON GOMES SANTOS,Grande,2366,45,Masculino,Negra,Não,0.019652305366591082,2020
PE,Igarassu,PT,IRENE ROSA DA SILVA MARQUES,Médio,2353,56,Feminino,Branca,Sim,0.547973917093619,2020
PA,Belém,PT,ALFREDO CARDOSO COSTA,Grande,2351,54,Masculino,Negra,Não,0.07461597054716262,2020
SP,Campinas,PT,WAGNER DE MELO ROMÃO,Grande,2347,45,Masculino,Branca,Não,0.09315340345306608,2020
RS,Porto Alegre,PT,ADELI SELL,Grande,2344,67,Masculino,Branca,Não,0.04367837510481692,2020
PB,Campina Grande,PT,NAPOLEÃO DE FARIAS MARACAJÁ,Grande,2342,49,Masculino,Branca,Não,0.3800714053878611,2020
RS,Pelotas,PT,MIRIAM PAZ GARCEZ MARRONI,Grande,2328,64,Feminino,Branca,Sim,0.23486682808716708,2020
PI,Teresina,PT,GENIVALDO CAMPELO DA SILVA,Grande,2314,49,Masculino,Branca,Não,0.0703471757767374,2020
PR,Curitiba,PT,SALETE BAGOLIN BEZ,Grande,2314,48,Feminino,Branca,Não,0.052773216566320016,2020
CE,Caucaia,PT,RICARDO WEIBE NASCIMENTO COSTA,Grande,2292,37,Masculino,Indígena,Sim,0.3856638061585058,2020
RS,Porto Alegre,PT,EVERTON DE MORAIS GIMENIS,Grande,2272,53,Masculino,Branca,Não,0.042336718531631415,2020
RJ,Maricá,PT,JORGE LUIZ CORDEIRO DA COSTA,Médio,2265,69,Masculino,Branca,Sim,0.12814710042432814,2020
RN,Natal,PT,DANIEL ARAUJO VALENÇA,Grande,2259,38,Masculino,Branca,Não,0.09298209508129245,2020
SP,São Bernardo do Campo,PT,SEBASTIÃO MATEUS BATISTA,Grande,2259,57,Masculino,Branca,Não,0.05984898662074447,2020
BA,Salvador,PT,JOSIVAL DOS SANTOS BASTOS,Grande,2251,47,Masculino,Negra,Não,0.02974326449174826,2020
SP,São Paulo,PT,PASCOALINA SOUZA SILVA,Grande,2242,58,Feminino,Branca,Não,0.003988819917768396,2020
SP,Campinas,PT,CARLOS ROBERTO DE OLIVEIRA,Grande,2236,62,Masculino,Negra,Não,0.08874776741416948,2020
PA,Belém,PT,LEIRSON WELLINGTON AZEVEDO SILVA,Grande,2225,40,Masculino,Negra,Não,0.07061698616224452,2020
RJ,Duque de Caxias,PT,NIVAN ALMEIDA,Grande,2205,62,Masculino,Branca,Não,0.12863893588472083,2020
RN,Natal,PT,ALINE JULIETE DE ABREU FELICIANO,Grande,2193,31,Feminino,Negra,Não,0.09026548672566372,2020
CE,Morada Nova,PT,MARCO ANTONIO DE ARAUJO BICA JUNIOR,Médio,2192,33,Masculino,Negra,Sim,0.11826912700981979,2020
RS,Porto Alegre,PT,ANA CRISTINA MEDEIROS DE LIMA,Grande,2192,50,Feminino,Negra,Não,0.04084598900586975,2020
MG,Ribeirão das Neves,PT,MESSIAS MOÍSES VERÍSSIMO,Grande,2175,30,Masculino,Negra,Sim,0.266120151719075,2020
MS,Campo Grande,PT,AYRTON DE ARAUJO,Grande,2167,59,Masculino,Negra,Sim,0.10451432429825408,2020
SP,Pindamonhangaba,PT,HERIVELTO DOS SANTOS MORAES,Médio,2161,43,Masculino,Negra,Sim,0.507038948850305,2020
SP,Guarulhos,PT,NAYDE DE OLIVEIRA NASCIMENTO,Grande,2155,57,Masculino,Indígena,Não,0.047239088976084524,2020
PI,Teresina,PT,MARCOS VINICIUS DO AMARAL OLIVEIRA,Grande,2151,32,Masculino,Negra,Não,0.06539186477777102,2020
RS,Bagé,PT,LÉLIO NUNES LOPES FILHO,Médio,2130,34,Masculino,Branca,Sim,0.19548458149779735,2020
SP,São Paulo,PT,DOUGLAS SAMOEL FONSECA,Grande,2122,38,Masculino,Negra,Não,0.003775323758030569,2020
MG,Alfenas,PT,JAIME DANIEL DOS SANTOS,Médio,2115,53,Masculino,Branca,Sim,0.3454189122978932,2020
MA,São Luís,PT,JHONATAN ALVES SOARES,Grande,2110,32,Masculino,Negra,Sim,0.15474880821415474,2020
RJ,Belford Roxo,PT,IGO ALENCAR DE MENEZES,Grande,2094,41,Masculino,Negra,Sim,0.19592065868263472,2020
SC,Florianópolis,PT,CARLA SIMARA LUCIANA DA SILVA SALASARIO AYRES,Grande,2094,32,Feminino,Branca,Sim,0.17723233178163353,2020
PA,Belém,PT,AMARILDO DO SOCORRO MARQUES CHERMONT,Grande,2092,57,Masculino,Negra,Não,0.06639583597816427,2020
SP,São Bernardo do Campo,PT,JOSÉ LUIS FERRAREZI,Grande,2085,56,Masculino,Branca,Não,0.05523910451715459,2020
RJ,Duque de Caxias,PT,NEI ROBSON DE AZEVEDO,Grande,2066,55,Masculino,Negra,Não,0.12052972405343912,2020
BA,Conceição do Coité,PT,ADALBERTO NERES PINTO GORDIANO,Médio,2065,46,Masculino,Negra,Sim,0.17675254643499103,2020
BA,Vitória da Conquista,PT,VALDEMIR OLIVEIRA DIAS,Grande,2061,53,Masculino,Negra,Sim,0.10348983178508663,2020
RJ,Maricá,PT,LUIZ FELIPE SANTOS DE OLIVEIRA,Médio,2061,25,Masculino,Negra,Sim,0.1166053748231966,2020
MS,Campo Grande,PT,LUIZA RIBEIRO GONÇALVES,Grande,2030,52,Feminino,Branca,Não,0.09790681971640783,2020
PR,Maringá,PT,VILMA GARCIA DA SILVA,Grande,2025,57,Feminino,Negra,Não,0.1969078179696616,2020
GO,Goiânia,PT,KATIA MARIA DOS SANTOS,Grande,2023,44,Feminino,Negra,Não,0.13289975036131915,2020
SP,São José dos Campos,PT,FLORISVALDO GONÇALVES FERNANDES,Grande,2019,59,Masculino,Negra,Não,0.09569627452839131,2020
PE,Olinda,PT,VINICIUS NASCIMENTO DOS SANTOS,Grande,2007,26,Masculino,Negra,Sim,0.20106191144059307,2020
BA,Salvador,PT,JESSICA SINAI SILVA SOUSA,Grande,2003,42,Feminino,Negra,Não,0.02646635218879243,2020
SP,São Bernardo do Campo,PT,JOSE FERREIRA DE SOUZA,Grande,2003,69,Masculino,Negra,Não,0.05306663134189959,2020
MG,Belo Horizonte,PT,KERISON ARNÓBIO LOPES SANTOS,Grande,1993,44,Masculino,Branca,Não,0.049759069233265923,2020
RN,Natal,PT,ANTONIO JUNIOR DA SILVA,Grande,1986,59,Masculino,Negra,Não,0.08174521506482815,2020
MG,Poços de Caldas,PT,DINEY LENON DE PAULO,Médio,1985,39,Masculino,Branca,Sim,0.39763621794871795,2020
SP,Santo André,PT,LUIZ ALBERTO FERREIRA DE ARAUJO,Grande,1968,59,Masculino,Branca,Não,0.10991343200223401,2020
BA,Vitória da Conquista,PT,MÁRCIA VIVIANE DE ARAÚJO SAMPAIO,Grande,1966,45,Feminino,Branca,Sim,0.09871955812201857,2020
CE,Morada Nova,PT,LUCIA GLEIDEVÂNIA RABELO,Médio,1964,46,Feminino,Branca,Sim,0.10596741124419985,2020
ES,Vitória,PT,KARLA SILVA COSER,Grande,1961,30,Feminino,Negra,Sim,0.17730560578661844,2020
CE,Morada Nova,PT,RAQUEL MENEZES GIRÃO,Médio,1958,35,Feminino,Branca,Sim,0.1056436818819467,2020
SP,São Bernardo do Campo,PT,ANTONIO CARLOS DA SILVA,Grande,1953,65,Masculino,Branca,Não,0.051741952576500196,2020
ES,Vitória,PT,JOCELINO DA CONCEIÇÃO SILVA JUNIOR,Grande,1941,29,Masculino,Negra,Não,0.175497287522604,2020
BA,Vitória da Conquista,PT,CORIOLANO FERREIRA DE MORAES NETO,Grande,1932,48,Masculino,Branca,Não,0.09701230228471001,2020
SP,São Paulo,PT,EMERSON DE ABREU SANTANA,Grande,1931,46,Masculino,Branca,Não,0.0034355090371145282,2020
MG,Contagem,PT,JOSÉ ANTÔNIO PROCÓPIO DE ALMEIDA,Grande,1918,57,Masculino,Negra,Sim,0.14467828317115486,2020
